Area,Cancer_Type,Year,Age_Adjusted_Rate,Death_Count,Population,per_100k
United States,Cervix,1999,2.8,4204,142237295,2.96
United States,Cervix,2000,2.8,4200,143719004,2.92
United States,Cervix,2001,2.7,4092,145077463,2.82
United States,Cervix,2002,2.6,3952,146394634,2.70
United States,Cervix,2003,2.5,3919,147679036,2.65
United States,Cervix,2004,2.4,3850,148977286,2.58
United States,Cervix,2005,2.4,3924,150319521,2.61
United States,Cervix,2006,2.4,3976,151732647,2.62
United States,Cervix,2007,2.4,4021,153166353,2.63
United States,Cervix,2008,2.4,4008,154604015,2.59
United States,Cervix,2009,2.3,3909,155964075,2.51
United States,Cervix,2010,2.3,3939,157249665,2.50
United States,Cervix,2011,2.3,4092,158370501,2.58
United States,Cervix,2012,2.3,4074,159480635,2.55
United States,Cervix,2013,2.3,4217,160545893,2.63
United States,Cervix,2014,2.3,4115,161690519,2.54
United States,Cervix,2015,2.3,4175,162832151,2.56
United States,Cervix,2016,2.2,4188,163986062,2.55
United States,Cervix,2017,2.2,4207,165008683,2.55
United States,Cervix,2018,2.2,4138,165877686,2.49
United States,Cervix,2019,2.2,4152,166637617,2.49
