Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
1999,AL,Alabama,Cervix,10.1,237,2293259,10.33
1999,AK,Alaska,Cervix,8.2,21,301266,6.97
1999,AZ,Arizona,Cervix,8,198,2518299,7.86
1999,AR,Arkansas,Cervix,11.6,161,1359445,11.84
1999,CA,California,Cervix,10.4,1691,16800161,10.07
1999,CO,Colorado,Cervix,6.4,136,2101358,6.47
1999,CT,Connecticut,Cervix,8.3,156,1747148,8.93
1999,DE,Delaware,Cervix,8.9,37,398732,9.28
1999,DC,District of Columbia,Cervix,11.7,36,301797,11.93
1999,FL,Florida,Cervix,11.5,984,8073847,12.19
1999,GA,Georgia,Cervix,11,442,4096031,10.79
1999,HI,Hawaii,Cervix,9.7,61,601830,10.14
1999,ID,Idaho,Cervix,6.3,38,636798,5.97
1999,IL,Illinois,Cervix,10.9,694,6313350,10.99
1999,IN,Indiana,Cervix,8.5,262,3083351,8.50
1999,IA,Iowa,Cervix,10.3,153,1488223,10.28
1999,KS,Kansas,Cervix,9.4,127,1356044,9.37
1999,KY,Kentucky,Cervix,11.5,244,2056401,11.87
1999,LA,Louisiana,Cervix,12.6,286,2302744,12.42
1999,ME,Maine,Cervix,7.7,55,650598,8.45
1999,MD,Maryland,Cervix,8.5,241,2716928,8.87
1999,MA,Massachusetts,Cervix,6.8,236,3274830,7.21
1999,MI,Michigan,Cervix,8.7,449,5047770,8.90
1999,MN,Minnesota,Cervix,7,175,2462931,7.11
1999,MS,Mississippi,Cervix,Data Suppressed,Data Suppressed,,
1999,MO,Missouri,Cervix,9.2,271,2860166,9.47
1999,MT,Montana,Cervix,9,41,450543,9.10
1999,NE,Nebraska,Cervix,8.8,75,865531,8.67
1999,NV,Nevada,Cervix,9.8,94,949422,9.90
1999,NH,New Hampshire,Cervix,6.8,45,621409,7.24
1999,NJ,New Jersey,Cervix,10.7,488,4304271,11.34
1999,NM,New Mexico,Cervix,7.4,67,918661,7.29
1999,NY,New York,Cervix,10.1,1037,9777654,10.61
1999,NC,North Carolina,Cervix,9.5,400,4062710,9.85
1999,ND,North Dakota,Cervix,5.3,17,322617,5.27
1999,OH,Ohio,Cervix,8.9,536,5835017,9.19
1999,OK,Oklahoma,Cervix,10,175,1748783,10.01
1999,OR,Oregon,Cervix,8.5,149,1712226,8.70
1999,PA,Pennsylvania,Cervix,9.4,630,6347064,9.93
1999,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
1999,RI,Rhode Island,Cervix,9.1,51,540724,9.43
1999,SC,South Carolina,Cervix,12.2,255,2045606,12.47
1999,SD,South Dakota,Cervix,Data Suppressed,Data Suppressed,,
